,name,longitude,latitude,avg_test_score
185,North Riverdale,-73.90453055,40.90854283,42.40973873
190,Canarsie,-73.9020927,40.63556433,27.21754503
191,Woodside,-73.90184167,40.74634909,46.96401832
193,Morrisania,-73.90150649,40.82359199,30.68160635
194,Ridgewood,-73.90143518,40.70832316,41.33484038
196,Bergen Beach,-73.89855634,40.61514955,56.01749025
197,Fordham,-73.89642656,40.8609968,36.06601388
198,Maspeth,-73.89621714,40.72542737,37.473795700000004
199,Longwood,-73.8957882,40.81509905,26.79091786
203,Belmont,-73.88845196,40.8572771,39.14396152
204,East Tremont,-73.88735618,40.84269616,31.66745653
208,Jackson Heights,-73.88282109,40.75198138,35.33661626
209,Elmhurst,-73.88165622,40.74404851,44.59144604
210,Middle Village,-73.88114319,40.71641451,37.57726276
212,Norwood,-73.87939074,40.87722416,38.778102200000006
214,West Farms,-73.87774475,40.83947506,37.422182899999996
216,Glendale,-73.87074167,40.70276243,35.19932241
218,Woodlawn,-73.86731497,40.89827261,45.93640884
219,East Elmhurst,-73.86704148,40.76407324,33.97468029
221,Soundview,-73.8657461,40.821012200000006,31.30962968
222,Olinville,-73.86332362,40.87137078,21.54122007
225,Allerton,-73.85931863,40.86578788,27.25998289
227,Rego Park,-73.85782687,40.72897409,40.53656543
230,Williamsbridge,-73.85744643,40.88103888,29.04598894
231,Corona,-73.85682497,40.74238175,23.84714565
232,Parkchester,-73.85600311,40.83793782,19.56137955
236,Unionport,-73.85053524,40.8297743,43.2950266
237,Morris Park,-73.85040178,40.84754906,36.18142653
239,Edenwald,-73.84808272,40.884561299999994,17.29767527
240,Castle Hill,-73.8480273,40.81901438,23.14875211
241,Wakefield,-73.84720052,40.89470518,26.71884538
242,Forest Hills,-73.84447501,40.72526378,49.99670295
244,College Point,-73.84304529,40.78490275,40.32702496
245,Westchester Square,-73.84219408,40.8406195,30.73602056
246,Pelham Gardens,-73.84161195,40.86296562,37.74495064
249,Howard Beach,-73.83813765,40.65422528,45.42924531
252,Richmond Hill,-73.83183321,40.69794731,43.69850513
253,Flushing,-73.831773,40.7644542,44.15309504
254,Co-op City,-73.82993911,40.87429419,41.1901372
255,Kew Gardens,-73.82981906,40.70517904,42.05260991
262,Kew Gardens Hills,-73.82087765,40.72257824,54.43792479
264,Throgs Neck,-73.81635002,40.81510926,58.58720235
265,Whitestone,-73.81420217,40.78129077,62.80426679
268,Briarwood,-73.81174822,40.71093547,28.29774746
274,Jamaica Center,-73.79690166,40.70465736,29.11381399
277,Jamaica Hills,-73.79646462,40.71145964,30.82265861
280,South Jamaica,-73.79042613,40.69691125,20.44834484
281,Jamaica Estates,-73.78722697,40.71680483,31.76673957
