name,longitude,latitude,uber_count,avg_price,adj_pop,median_daily_test_rate,avg_test_score,Median Sale Price - na has median
Sea Gate,-74.00787311,40.57637538,0,1.5,33116,194.5,52.57267057,640000
Sheepshead Bay,-73.9431864,40.58689013,1614,1.7,64557,455.7,48.54619336,415000
Shore Acres,-74.06667766,40.60971934,0,1.8,186,317.3,48.1063288,590000
Silver Lake,-74.09629029,40.61919311,0,1.75,17154,323.9,45.48789941,450000
Soho,-74.00065667,40.72218384,41476,1.65,39749,653.7,46.23241946,2647450
Somerville,-73.79664751,40.59771062,0,1.8,12063,482.5,26.56389444,590000
Soundview,-73.8657461,40.8210122,1739,1.55,87604,450,31.30962968,345331
South Beach,-74.07955293,40.58024741,157,1.85,23926,317.3,47.25108923,572000
South Jamaica,-73.79042613,40.69691125,917,1.5,37037,564,20.44834484,530000
South Ozone Park,-73.80986479,40.66854958,2622,1.55,77392,749.4,32.89505329,574000
South Side,-73.95800095,40.71086147,0,1.75,42952,482.5,31.25759226,590000
Springfield Gardens,-73.76042093,40.66623049,1744,1.5,44965,269.6,33.86131284,549000
Spuyten Duyvil,-73.91719048,40.88139498,3379,1.9,30016,282.9,41.03690095,275000
St. Albans,-73.75867604,40.69444539,0,1.45,49319,579.3,31.24796097,590000
St. George,-74.07935313,40.64498157,0,1.7,32853,323.9,43.88652194,565000
Stapleton,-74.07790193,40.62692763,157,1.75,25250,482.5,44.96485008,445000
Starrett City,-73.8793697,40.64758905,559,1.35,13987,482.5,42.47753282,590000
Steinway,-73.9022896,40.77592302,9831,1.7,50569,306.7,37.47147619,812500
Stuyvesant Town,-73.9740517,40.73099955,26956,1.8,20074,1425.8,36.74532883,590000
Sunnyside,-73.92691618,40.74017628,11522,1.6,94495,659.9,46.84625585,437500
Sunnyside Gardens,-73.91819286,40.74565181,0,1.75,7031,482.5,43.37633838,437191
Sunset Park,-74.01031619,40.64510295,9439,1.8,122421,345.3,40.87262902,550000
Sutton Place,-73.96355614,40.76028033,33381,1.8,849,482.5,45.12340196,803750
Throgs Neck,-73.81635002,40.81510926,0,1.75,43940,211,58.58720235,590000
Todt Hill,-74.11132882,40.59706852,189,1.9,30738,508.5,44.1252871,835000
Tompkinsville,-74.08055352,40.63731607,0,1.6,20348,482.5,44.16702617,590000
Tottenville,-74.24656934,40.50533376,8,1.9,20822,207.9,45.43590133,733500
Travis,-74.19073718,40.58631375,0,1.6,39452,482.5,43.1302489,499999
Tribeca,-74.01068329,40.72152197,77462,2,39749,922.1,81.32602188,3550000
Tudor City,-73.97121929,40.74691741,0,1.75,2526,482.5,41.37158244,492500
Turtle Bay,-73.96770825,40.75204237,63039,1.7,50484,482.5,35.46035018,820000
Unionport,-73.85053524,40.8297743,968,1.55,26508,482.5,43.2950266,515000
University Heights,-73.91041596,40.85572708,1300,1.45,54262,460.1,23.75865236,469000
Upper East Side,-73.96050763,40.77563857,94244,1.85,62436,2602.6,56.38323246,590000
Upper West Side,-73.97705924,40.787658,62183,1.85,134666,1058.1,64.05861788,1100000
Utopia,-73.79671678,40.73350025,0,1.65,17592,205.4,32.99689728,590000
Van Nest,-73.86629918,40.84360847,1636,1.65,28193,452,34.24613824,500000
Vinegar Hill,-73.98111604,40.7033215,10350,2,32672,482.5,21.52590792,810000
