name,longitude,latitude,uber_count,avg_price
Wakefield,-73.84720052054901,40.894705176609996,810.0,1.35
Washington Heights,-73.93690027985234,40.851902525553044,18374.0,1.35
Weeksville,-73.93053108817337,40.67503986503237,0.0,1.6
West Brighton,-74.1071817826561,40.631878926546065,106.0,1.55
West Farms,-73.87774474910546,40.839475056726535,789.0,1.65
West Village,-74.00617998126813,40.734433935724354,111976.0,1.9
Westchester Square,-73.84219407604444,40.8406194964327,0.0,1.6
Westerleigh,-74.13304143951704,40.62109047275409,157.0,1.6
Whitestone,-73.81420216610863,40.781290766026935,1084.0,1.75
Williamsbridge,-73.85744642974205,40.88103887819211,1140.0,1.45
Williamsburg,-73.95811529220926,40.707144393442505,72684.0,1.9
Willowbrook,-74.13208447484298,40.603706926273716,0.0,1.6
Windsor Terrace,-73.98007340430172,40.65694583575104,4733.0,1.75
Wingate,-73.93718680559314,40.66094656188111,0.0,1.75
Woodhaven,-73.8581104655432,40.68988687915789,2058.0,1.4
Woodlawn,-73.86731496814177,40.898272612138044,810.0,1.4
Woodrow,-74.20524582480327,40.541967622888755,5.0,1.75
Woodside,-73.90184166838284,40.746349088602216,4567.0,1.4
Yorkville,-73.94711784471826,40.77592984988488,46819.0,1.8
